[ 1.77635684e-15 -1.03028697e-13 -3.59712260e-14]
[ 5.32907052e-15 -8.17124146e-14  5.99520433e-15]
[-1.77635684e-15 -1.06581410e-13 -2.44249065e-14]
[-8.88178420e-15 -1.35003120e-13 -2.70894418e-14]
[-1.24344979e-14 -1.13686838e-13 -3.64153152e-14]
[ 8.88178420e-15 -1.17239551e-13 -3.68594044e-14]
[ 3.55271368e-15 -9.59232693e-14 -2.46469511e-14]
[ 1.42108547e-14 -1.13686838e-13 -1.99840144e-15]
[ 8.88178420e-15 -1.13686838e-13  1.37667655e-14]
[ 1.24344979e-14 -9.94759830e-14 -5.08482145e-14]
[ 3.55271368e-15 -1.24344979e-13 -4.26325641e-14]
[ 2.84217094e-14 -1.38555833e-13 -5.75095527e-14]
[ 2.13162821e-14 -1.17239551e-13 -3.86357613e-14]
[ 4.61852778e-14 -1.13686838e-13 -1.64313008e-14]
[ 1.77635684e-14 -1.20792265e-13 -4.50750548e-14]
[ 3.19744231e-14 -1.06581410e-13 -2.13162821e-14]
[ 2.48689958e-14 -9.59232693e-14 -7.08322290e-14]
[ 3.19744231e-14 -1.06581410e-13 -2.44249065e-14]
[ 3.90798505e-14 -1.10134124e-13 -9.57012247e-14]
